word,length,arousal,valence,dominance,concreteness,imageability,familiarity,aoa,semsize,gender
pitch (musical),5,5.528,5.750,5.091,3.829,2.912,5.382,4.861,4.088,2.806
pitch (tar),5,3.379,4.333,4.700,5.300,4.367,2.871,5.419,4.000,4.828
pitch (throw),5,4.485,5.273,6.030,4.882,5.588,4.424,4.849,4.061,5.059
plane (aircraft),5,4.971,5.529,5.206,6.647,6.706,6.281,2.559,5.529,5.000
plane (surface),5,2.879,5.200,4.939,5.486,5.257,3.970,5.000,4.382,4.294
plane (wood),5,2.909,5.273,5.455,6.086,5.455,3.912,5.118,3.177,4.909
plant (factory),5,3.242,4.286,4.618,6.281,6.143,4.324,5.118,5.500,5.143
plant (flower),5,4.324,6.500,4.906,6.242,6.546,6.290,2.353,2.912,2.471
plant (position),5,3.212,5.059,5.794,4.441,3.750,3.727,4.382,3.484,4.029
plaster (bandage),7,3.697,4.314,4.265,6.364,6.500,6.258,2.343,2.588,3.853
plaster (wall),7,2.647,5.091,5.200,5.941,6.061,5.515,4.147,3.765,5.543
play (game),4,6.188,6.618,6.273,4.441,5.206,6.515,1.706,4.324,4.147
play (stage performance),4,5.857,6.735,5.629,5.471,6.364,6.091,3.371,4.758,3.059
plot (conspiracy),4,6.647,2.912,3.969,3.324,3.500,5.147,5.000,5.438,4.879
plot (graph),4,3.059,5.294,5.656,5.000,5.706,5.061,4.943,3.412,4.559
plot (land),4,3.294,5.091,5.242,6.091,5.867,4.818,4.559,5.125,4.636
plot (story),4,4.882,5.727,5.286,3.941,3.382,5.548,4.200,4.394,3.818
plug (blockage),4,2.588,3.879,4.206,5.618,5.912,4.912,4.471,3.029,4.882
plug (electric),4,2.765,5.324,5.667,6.457,6.618,6.029,2.794,2.400,4.971
poach (cook),5,3.457,5.343,5.333,5.333,5.182,4.171,5.514,2.914,3.576
poach (hunt),5,4.656,2.829,5.438,4.853,4.727,3.212,5.343,4.531,5.849
point (argument),5,5.485,4.455,6.500,2.758,3.094,5.839,4.324,4.485,4.206
point (finger),5,4.849,3.941,5.971,5.206,5.912,5.781,2.059,2.625,4.382
point (location),5,4.559,5.364,4.941,5.235,4.114,5.242,4.029,3.606,4.286
poker (cards),5,5.314,4.886,5.400,5.857,6.543,5.000,5.143,3.441,5.735
poker (rod),5,4.625,3.938,5.031,6.156,6.161,4.091,4.719,3.563,5.313
pool (billiards),4,4.250,5.714,5.546,6.294,6.265,4.882,4.424,3.529,5.206
pool (shared),4,3.353,5.394,4.677,4.121,4.088,4.125,4.618,3.853,4.182
pool (water),4,5.629,6.114,5.118,6.091,6.677,6.394,2.429,4.647,3.371
port (harbour),4,3.546,5.546,4.969,6.364,5.886,4.406,4.177,4.971,4.788
port (wine),4,5.059,5.971,5.824,6.125,6.088,4.656,6.177,3.353,3.971
post (mail),4,3.824,5.758,4.906,6.147,6.265,6.294,3.029,3.182,4.647
post (pole),4,3.794,5.029,5.452,6.097,6.219,5.219,3.588,3.394,4.636
post (position),4,3.912,5.441,5.774,4.412,3.057,4.457,5.314,4.200,4.618
pot (drugs),3,5.000,4.000,4.531,5.688,5.938,5.061,6.485,3.781,5.091
pot (pan),3,2.429,5.212,5.429,6.514,6.371,6.257,2.743,2.441,3.647
pound (dogs),5,4.030,4.219,4.029,6.177,5.606,4.118,4.412,3.455,4.636
pound (hammer),5,5.257,4.286,6.343,4.677,5.500,4.882,4.543,4.177,5.686
pound (money),5,4.576,6.375,4.906,6.484,6.500,6.586,2.576,3.719,4.531
pound (weight),5,3.353,4.882,5.514,4.824,4.114,5.353,4.343,3.629,4.229
present (gift),7,6.636,7.686,5.667,6.118,6.343,5.829,2.143,4.333,3.353
present (show),7,5.206,6.400,6.382,3.912,4.515,5.656,3.886,5.091,3.914
prick (dick),5,5.121,3.088,4.879,4.571,5.206,4.400,6.294,3.543,6.588
prick (stab),5,4.697,3.242,4.543,4.800,4.647,4.719,4.171,2.686,5.177
pride (feeling),5,6.125,7.063,7.097,2.344,2.871,5.613,4.061,5.903,4.424
pride (lions),5,5.829,6.294,5.273,6.147,6.559,4.543,4.500,5.457,5.441
process (modify),7,3.571,5.629,5.471,3.088,2.529,4.879,5.824,4.394,4.371
process (procedure),7,3.088,4.941,5.618,3.515,3.265,5.706,5.353,4.677,4.206
process (understand),7,3.970,6.029,6.088,2.939,2.594,5.879,5.257,4.706,3.970
project (enterprise),7,5.114,6.303,6.206,4.121,3.706,5.324,4.794,5.206,4.912
project (protrude),7,4.697,4.879,5.441,4.235,4.212,4.576,5.735,4.794,4.455
prune (fruit),5,2.853,5.121,5.485,6.559,6.147,4.606,3.909,2.000,3.235
prune (trim),5,3.970,5.563,5.677,4.735,5.031,3.606,5.324,2.735,3.242
pull (attratcion),4,5.906,6.943,5.424,3.303,3.613,5.677,5.000,4.774,3.697
pull (drag),4,3.849,4.029,5.118,4.559,4.636,5.500,2.912,3.849,4.424
pulse (e.g. beans),5,3.719,5.167,5.194,5.742,5.750,3.667,5.667,2.387,4.152
pulse (heartbeat),5,6.294,6.412,5.147,5.912,4.853,6.059,4.059,3.324,3.147
pumps (equipment),5,3.177,5.057,4.886,6.371,5.235,4.147,4.914,3.743,4.971
pumps (shoes),5,4.735,5.515,5.794,6.677,6.559,4.629,5.294,2.546,1.618
punch (drink),5,5.857,5.829,5.200,5.857,5.943,4.152,5.200,3.286,3.686
punch (strike),5,6.333,2.030,5.970,5.849,5.844,6.094,2.970,4.849,6.182
pupil (eye),5,3.813,5.429,5.314,6.629,6.600,5.879,3.771,2.429,3.943
pupil (school),5,3.429,5.657,4.177,6.333,6.559,6.206,2.886,2.829,3.971
pussy (cat),5,5.212,6.382,5.576,6.441,6.571,5.333,2.286,2.914,2.324
pussy (vagina),5,5.936,4.970,5.914,5.914,5.939,5.394,6.486,3.294,1.206
pussy (wimp),5,3.771,2.400,3.029,2.882,3.794,4.706,6.029,3.171,3.686
puzzle (jigsaw),6,5.000,5.706,4.970,6.219,6.324,5.515,2.182,3.344,3.818
